assetClass,assetType,actionName,cost,unit,description,lifecycle
Green Infrastructure,Bioswales,Maintenance,14.1,SM,Maintenance cost for bioswales per square meter.,1
Green Infrastructure,Drainage Swales,Replacement 1m wide,55.98,SM,Total replacement cost for bioswales 1 meter wide.,20
Green Infrastructure,Engineered Ponds,Replacement 1m wide,55.98,SM,Total replacement cost for bioswales 1 meter wide.,20
Trees,Forest,Reforestation DRC,0.3,SM,The Reforestation cost includes site preparation seedling production planting labor and post-planting maintenance to ensure tree survival and ecosystem restoration.,25
Grass,Grass,Reforestation DRC,0.3,SM,Ontario Soil and Crop Improvement Association,25
Green Infrastructure,Green Roofs (Blue-Green),Replacement,323,SM,Replacement cost for blue-green roofs per square meter.,25
Green Infrastructure,Green Roofs (Blue-Green),Replacement Alternative,11,SM,Replacement cost for porous asphalt pavement per square meter.,25
Green Infrastructure,Green Roofs (Blue-Green),Maintenance density dependent,8.1,SM,Maintenance cost for blue-green roofs per square meter density dependent.,1
Green Infrastructure,Green Roofs (Blue-Green),Inspection,500,Each,Inspection cost for blue-green roofs.,1
Green Infrastructure,Green Roofs (Extensive),Replacement,161,SM,Replacement cost for extensive green roofs per square meter.,25
Green Infrastructure,Green Roofs (Extensive),Maintenance density dependent,8.1,SM,Maintenance cost for extensive green roofs per square meter density dependent.,1
Green Infrastructure,Green Roofs (Extensive),Inspection,500,Each,Inspection cost for extensive green roofs.,1
Green Infrastructure,Green Walls,Replacement,700,SM,Replacement cost for green walls per square meter.,20
Green Infrastructure,Green Walls,Maintenance,7200,SM,Maintenance cost for green walls per square meter.,1
Flooded Vegetation,Inland Wetland,Excavation,16.1,SM,Clearing and grading the land for Wetland creation,10
Flooded Vegetation,Inland Wetland,Soil Import/Amendment,21.5,SM,Bringing in new soil or amending existing soil,10
Flooded Vegetation,Inland Wetland,Grading,13.5,SM,Smoothing and shaping the land to create proper slopes and water retention areas,10
Flooded Vegetation,Inland Wetland,Water Source Setup,32.3,SM,Installation of water control structures or irrigation,10
Flooded Vegetation,Inland Wetland,Sodding (Grass),9.7,SM,Planting Grass or ground cover in Wetland areas,10
Flooded Vegetation,Inland Wetland,Native Planting,43.1,SM,Planting Wetland-specific vegetation like reeds cattails etc.,25
Flooded Vegetation,Inland Wetland,Erosion Control,18.8,SM,Installing erosion control measures like silt fencing,10
Flooded Vegetation,Inland Wetland,Sediment Control,16.1,SM,Establishing barriers to control sediment movement,10
